utterance,loglikelihood
words-BABEL-BP-101-32295-20111111-144923-outLine-332-85-341-13,-48.359378048780485
words-BABEL-BP-101-32295-20111111-144923-outLine-341-13-347-92,-52.92008955223881
words-BABEL-BP-101-32295-20111111-144923-outLine-354-82-358-63,-56.08171052631579
words-BABEL-BP-101-32295-20111111-144923-outLine-358-63-366-88,-54.09809756097561
words-BABEL-BP-101-32295-20111111-144923-outLine-366-88-374-43,-52.524906666666666
words-BABEL-BP-101-32295-20111111-144923-outLine-380-64-384-58,-49.605051282051285
words-BABEL-BP-101-32295-20111111-144923-outLine-384-58-391-33,-39.942074626865676
words-BABEL-BP-101-32295-20111111-144923-outLine-391-33-397-17,-55.70515517241379
words-BABEL-BP-101-32295-20111111-144923-outLine-397-17-404-06,-51.596132352941176
words-BABEL-BP-101-32295-20111111-144923-outLine-404-06-420-31,-57.70461111111111
words-BABEL-BP-101-32295-20111111-144923-outLine-428-84-432-55,-58.08118918918919
words-BABEL-BP-101-32295-20111111-144923-outLine-432-55-437-53,-45.33828571428572
words-BABEL-BP-101-32295-20111111-144923-outLine-437-53-446-41,-51.269125
words-BABEL-BP-101-32295-20111111-144923-outLine-446-41-452-47,-54.06863333333333
words-BABEL-BP-101-32295-20111111-144923-outLine-452-47-455-92,-53.2105294117647
words-BABEL-BP-101-32295-20111111-144923-outLine-455-92-464-39,-50.31852380952381
words-BABEL-BP-101-32295-20111111-144923-outLine-464-39-468-33,-51.93497435897436
words-BABEL-BP-101-32295-20111111-144923-outLine-468-33-472-67,-56.62579069767442
words-BABEL-BP-101-32295-20111111-144923-outLine-478-72-487-21,-59.81138095238095
words-BABEL-BP-101-32295-20111111-144923-outLine-487-21-490-86,-55.303
words-BABEL-BP-101-32295-20111111-144923-outLine-490-86-496-85,-44.475864406779664
words-BABEL-BP-101-32295-20111111-144923-outLine-496-85-503-69,-54.25344117647059
words-BABEL-BP-101-32295-20111111-144923-outLine-503-69-512-58,-53.68121590909091
words-BABEL-BP-101-32295-20111111-144923-outLine-517-0-521-3,-49.33202380952381
words-BABEL-BP-101-32295-20111111-144923-outLine-521-3-526-74,-58.83042592592592
words-BABEL-BP-101-32295-20111111-144923-outLine-535-41-540-49,-50.18464
words-BABEL-BP-101-32295-20111111-144923-outLine-545-67-548-79,-44.817
words-BABEL-BP-101-32295-20111111-144923-outLine-548-79-557-69,-47.909797752808984
words-BABEL-BP-101-32295-20111111-144923-outLine-557-69-564-3,-43.550075757575755
words-BABEL-BP-101-32295-20111111-144923-outLine-564-3-567-65,-50.13215151515152
words-BABEL-BP-101-32295-20111111-144923-outLine-579-96-583-81,-55.61994736842105
words-BABEL-BP-101-16266-20111027-153525-outLine-3-81-9-28,-42.83168518518519
words-BABEL-BP-101-16266-20111027-153525-outLine-9-28-17-78,-40.38865882352941
words-BABEL-BP-101-16266-20111027-153525-outLine-17-78-26-68,-42.32131818181818
words-BABEL-BP-101-16266-20111027-153525-outLine-33-74-40-81,-37.312171428571425
words-BABEL-BP-101-16266-20111027-153525-outLine-40-81-48-9,-42.627475
words-BABEL-BP-101-16266-20111027-153525-outLine-48-9-57-01,-34.74024691358025
words-BABEL-BP-101-16266-20111027-153525-outLine-57-01-60-58,-42.590828571428574
words-BABEL-BP-101-16266-20111027-153525-outLine-60-58-71-83,-31.13307142857143
words-BABEL-BP-101-16266-20111027-153525-outLine-71-83-76-44,-32.62615217391305
words-BABEL-BP-101-16266-20111027-153525-outLine-76-44-84-56,-25.119716049382713
words-BABEL-BP-101-16266-20111027-153525-outLine-84-56-92-02,-29.108067567567566
words-BABEL-BP-101-16266-20111027-153525-outLine-92-02-98-96,-40.81795652173913
words-BABEL-BP-101-16266-20111027-153525-outLine-98-96-103-59,-25.170782608695653
words-BABEL-BP-101-16266-20111027-153525-outLine-103-59-112-57,-40.54329213483146
words-BABEL-BP-101-16266-20111027-153525-outLine-112-57-121-54,-30.735696629213482
words-BABEL-BP-101-16266-20111027-153525-outLine-121-54-126-99,-29.43424074074074
words-BABEL-BP-101-16266-20111027-153525-outLine-135-5-144-11,-32.645546511627906
words-BABEL-BP-101-16266-20111027-153525-outLine-144-11-152-01,-45.385461538461534
words-BABEL-BP-101-16266-20111027-153525-outLine-152-01-155-37,-36.14372727272727
words-BABEL-BP-101-16266-20111027-153525-outLine-155-37-161-96,-27.904984615384617
words-BABEL-BP-101-16266-20111027-153525-outLine-161-96-166-25,-96.83178571428572
words-BABEL-BP-101-16266-20111027-153525-outLine-166-25-174-85,-86.2093294117647
words-BABEL-BP-101-16266-20111027-153525-outLine-174-85-182-85,
words-BABEL-BP-101-16266-20111027-153525-outLine-182-85-186-89,
words-BABEL-BP-101-16266-20111027-153525-outLine-186-89-195-45,
words-BABEL-BP-101-16266-20111027-153525-outLine-195-45-204-2,
words-BABEL-BP-101-16266-20111027-153525-outLine-204-2-210-07,-97.6166724137931
words-BABEL-BP-101-16266-20111027-153525-outLine-210-07-217-41,
words-BABEL-BP-101-16266-20111027-153525-outLine-217-41-226-22,-89.62088636363636
words-BABEL-BP-101-16266-20111027-153525-outLine-226-22-230-09,-96.13992105263158
words-BABEL-BP-101-16266-20111027-153525-outLine-230-09-237-38,
words-BABEL-BP-101-16266-20111027-153525-outLine-237-38-242-46,-97.28442
words-BABEL-BP-101-16266-20111027-153525-outLine-242-46-246-55,-84.619075
words-BABEL-BP-101-16266-20111027-153525-outLine-246-55-251-99,-81.91272222222223
words-BABEL-BP-101-16266-20111027-153525-outLine-251-99-256-63,
words-BABEL-BP-101-16266-20111027-153525-outLine-256-63-267-8,-84.01931531531531
words-BABEL-BP-101-16266-20111027-153525-outLine-267-8-274-39,-18.649923076923073
words-BABEL-BP-101-16266-20111027-153525-outLine-274-39-281-06,-18.328545454545456
words-BABEL-BP-101-16266-20111027-153525-outLine-281-06-285-9,-94.403375
